"","order_item_id","item_id","item_price","user_reg_date","childrensize","nodelivery","present","waitingtime","lowprice","xmas","newyears","age","oldppl","noitems","noorders","prebd","female","male","difforder","preorders"
"30722",130722,1922,159.9,2015-04-30,0,0,0,0,0,0,0,50,0,3,2,0,1,0,0,-214
"30723",130723,1886,199.9,2015-04-30,0,0,0,0,0,0,0,50,0,3,2,0,1,0,0,-214
"30724",130724,2081,219.9,2015-04-30,0,0,0,0,0,0,0,50,0,3,2,0,1,0,0,-228
"49937",149937,1633,59.9,2015-04-30,0,0,0,0,0,1,0,50,0,3,2,0,1,0,1,-311
"49938",149938,2090,79.9,2015-04-30,0,0,0,0,0,1,0,50,0,3,2,0,1,0,0,-311
"49939",149939,1600,219.9,2015-04-30,0,0,0,0,0,1,0,50,0,3,2,0,1,0,0,-315
"31957",131957,410,59.9,2015-02-17,0,0,0,0,0,0,0,61,0,2,2,1,1,0,0,-14
"31958",131958,1726,199.9,2015-02-17,0,0,0,0,0,0,0,61,0,2,2,1,1,0,0,-24
"35915",135915,410,59.9,2015-02-17,0,0,0,0,0,0,0,61,0,1,2,1,1,0,0,-18
"11915",111915,1574,39.9,2016-01-21,0,0,0,0,0,0,0,43,0,7,1,0,1,0,0,-622
"11916",111916,1409,21.9,2016-01-21,0,0,0,0,1,0,0,43,0,7,1,0,1,0,0,-622
"11917",111917,1409,21.9,2016-01-21,0,0,0,0,1,0,0,43,0,7,1,0,1,0,0,-622
"11918",111918,1409,21.9,2016-01-21,0,0,0,0,1,0,0,43,0,7,1,0,1,0,0,-622
"11919",111919,1656,39.9,2016-01-21,0,0,0,0,0,0,0,43,0,7,1,0,1,0,0,-622
"11920",111920,1637,69.9,2016-01-21,0,0,0,0,0,0,0,43,0,7,1,0,1,0,0,-625
"11921",111921,1505,49.9,2016-01-21,0,0,0,0,0,0,0,43,0,7,1,0,1,0,0,-703
"4261",104261,1556,79.9,2015-02-17,0,0,0,0,0,0,0,66,0,4,2,0,1,0,0,-206
"4262",104262,1664,24.9,2015-02-17,0,0,0,0,0,0,0,66,0,4,2,0,1,0,0,-206
"4263",104263,1666,99.9,2015-02-17,0,1,0,-99,0,0,-99,66,0,4,2,-99,1,0,0,-99
"4264",104264,1664,24.9,2015-02-17,0,1,0,-99,0,0,-99,66,0,4,2,-99,1,0,0,-99
"26920",126920,1755,79.9,2015-02-17,0,0,0,0,0,0,0,66,0,2,2,0,1,0,1,-299
"26921",126921,1666,99.9,2015-02-17,0,0,0,0,0,0,0,66,0,2,2,0,1,0,0,-299
"7797",107797,1742,159.9,2016-02-20,0,0,0,0,0,0,0,56,0,2,1,0,1,0,0,80
"7798",107798,1676,79.95,2016-02-20,0,0,0,0,0,0,0,56,0,2,1,1,1,0,0,-1
"32526",132526,2101,15.95,2015-02-17,0,0,0,0,1,0,0,56,0,3,1,0,1,0,0,-993
"32527",132527,1512,29.9,2015-02-17,0,0,0,0,0,0,0,56,0,3,1,0,1,0,0,-993
"32528",132528,1512,29.9,2015-02-17,0,0,0,0,0,0,0,56,0,3,1,0,1,0,0,-993
"17552",117552,1485,149.9,2016-02-29,0,0,0,1,0,0,0,62,0,1,1,0,1,0,0,-128
"15789",115789,1687,39.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,98
"15790",115790,1760,49.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,98
"15791",115791,1409,21.9,2016-01-23,0,0,0,0,1,0,0,50,0,5,2,0,1,0,0,98
"15792",115792,1409,21.9,2016-01-23,0,0,0,0,1,0,0,50,0,5,2,0,1,0,0,98
